Navn;Stasjon;Tid(norsk normaltid);Snødybde
Bergen - Florida;SN50540;05.03.2010;57
Bergen - Florida;SN50540;06.03.2010;53
Bergen - Florida;SN50540;07.03.2010;52
Bergen - Florida;SN50540;08.03.2010;47
Bergen - Florida;SN50540;09.03.2010;39
Bergen - Florida;SN50540;10.03.2010;31
Bergen - Florida;SN50540;11.03.2010;29
Bergen - Florida;SN50540;12.03.2010;25
Bergen - Florida;SN50540;13.03.2010;23
Bergen - Florida;SN50540;14.03.2010;24
Bergen - Florida;SN50540;15.03.2010;25
Bergen - Florida;SN50540;16.03.2010;27
Bergen - Florida;SN50540;17.03.2010;22
Bergen - Florida;SN50540;18.03.2010;11
Bergen - Florida;SN50540;19.03.2010;4
Bergen - Florida;SN50540;20.03.2010;0
Bergen - Florida;SN50540;21.03.2010;0
Bergen - Florida;SN50540;22.03.2010;0
Bergen - Florida;SN50540;23.03.2010;0
Bergen - Florida;SN50540;24.03.2010;0
Bergen - Florida;SN50540;25.03.2010;0
Bergen - Florida;SN50540;26.03.2010;0
Bergen - Florida;SN50540;27.03.2010;0
Bergen - Florida;SN50540;28.03.2010;0
Bergen - Florida;SN50540;29.03.2010;0
Bergen - Florida;SN50540;30.03.2010;0
Bergen - Florida;SN50540;31.03.2010;0
Bergen - Florida;SN50540;01.04.2010;0
Bergen - Florida;SN50540;02.04.2010;0
Bergen - Florida;SN50540;03.04.2010;0
Bergen - Florida;SN50540;04.04.2010;0
Bergen - Florida;SN50540;05.04.2010;0
Bergen - Florida;SN50540;06.04.2010;0
Bergen - Florida;SN50540;07.04.2010;0
Bergen - Florida;SN50540;08.04.2010;0
Bergen - Florida;SN50540;09.04.2010;0
Bergen - Florida;SN50540;10.04.2010;0
Bergen - Florida;SN50540;11.04.2010;0
Bergen - Florida;SN50540;12.04.2010;0
Bergen - Florida;SN50540;13.04.2010;0
Bergen - Florida;SN50540;14.04.2010;0
Bergen - Florida;SN50540;15.04.2010;0
Bergen - Florida;SN50540;16.04.2010;0
Bergen - Florida;SN50540;17.04.2010;0
Bergen - Florida;SN50540;18.04.2010;0
Bergen - Florida;SN50540;19.04.2010;1
Bergen - Florida;SN50540;20.04.2010;0
Bergen - Florida;SN50540;21.04.2010;0
Bergen - Florida;SN50540;22.04.2010;0
Bergen - Florida;SN50540;23.04.2010;0
Bergen - Florida;SN50540;24.04.2010;0
Bergen - Florida;SN50540;25.04.2010;0
Bergen - Florida;SN50540;26.04.2010;0
Bergen - Florida;SN50540;27.04.2010;0
Bergen - Florida;SN50540;28.04.2010;0
Bergen - Florida;SN50540;29.04.2010;0
Bergen - Florida;SN50540;30.04.2010;0
Bergen - Florida;SN50540;01.05.2010;0
Bergen - Florida;SN50540;02.05.2010;0
Bergen - Florida;SN50540;03.05.2010;0
Bergen - Florida;SN50540;04.05.2010;0
Bergen - Florida;SN50540;05.05.2010;0
Bergen - Florida;SN50540;06.05.2010;0
Bergen - Florida;SN50540;07.05.2010;0
Bergen - Florida;SN50540;08.05.2010;0
Bergen - Florida;SN50540;09.05.2010;0
Bergen - Florida;SN50540;10.05.2010;0
Bergen - Florida;SN50540;11.05.2010;0
Bergen - Florida;SN50540;12.05.2010;0
Bergen - Florida;SN50540;13.05.2010;0
Bergen - Florida;SN50540;14.05.2010;0
Bergen - Florida;SN50540;15.05.2010;0
Bergen - Florida;SN50540;16.05.2010;0
Bergen - Florida;SN50540;17.05.2010;0
Bergen - Florida;SN50540;18.05.2010;0
Bergen - Florida;SN50540;19.05.2010;0
Bergen - Florida;SN50540;20.05.2010;0
Bergen - Florida;SN50540;21.05.2010;0
Bergen - Florida;SN50540;22.05.2010;0
Bergen - Florida;SN50540;23.05.2010;0
Bergen - Florida;SN50540;24.05.2010;0
Bergen - Florida;SN50540;25.05.2010;0
Bergen - Florida;SN50540;26.05.2010;0
Bergen - Florida;SN50540;27.05.2010;0
Bergen - Florida;SN50540;28.05.2010;0
Bergen - Florida;SN50540;29.05.2010;0
Bergen - Florida;SN50540;30.05.2010;0
Bergen - Florida;SN50540;31.05.2010;0
Bergen - Florida;SN50540;01.06.2010;0
Bergen - Florida;SN50540;02.06.2010;0
Bergen - Florida;SN50540;03.06.2010;0
